"","Sample","Sample_or_Control"
"PAL8PH","PAL8PH","True Sample"
"PAL9PH","PAL9PH","True Sample"
"PB10S","PB10S","True Sample"
"PB10S2","PB10S2","True Sample"
"PB11S","PB11S","True Sample"
"PB11S2","PB11S2","True Sample"
"Pb1PH","Pb1PH","True Sample"
"PB1PH2","PB1PH2","True Sample"
"PB1S","PB1S","True Sample"
"PB1S2","PB1S2","True Sample"
"PB2PH","PB2PH","True Sample"
"PB2PH2","PB2PH2","True Sample"
"PB2S","PB2S","True Sample"
"PB2S2","PB2S2","True Sample"
"PB3S","PB3S","True Sample"
"PB3S2","PB3S2","True Sample"
"PB4PH","PB4PH","True Sample"
"PB4PH2","PB4PH2","True Sample"
"PB4S","PB4S","True Sample"
"PB4S2","PB4S2","True Sample"
"PB5S","PB5S","True Sample"
"PB5S2","PB5S2","True Sample"
"PB6PH","PB6PH","True Sample"
"PB6PH2","PB6PH2","True Sample"
"PB6S","PB6S","True Sample"
"PB6S2","PB6S2","True Sample"
"PB7S","PB7S","True Sample"
"PB7S2","PB7S2","True Sample"
"PB8S","PB8S","True Sample"
"PB8S2","PB8S2","True Sample"
"PB9S","PB9S","True Sample"
"PB9S2","PB9S2","True Sample"
"PG10PH","PG10PH","True Sample"
"PG1PH","PG1PH","True Sample"
"PG1S","PG1S","True Sample"
"PG2PH","PG2PH","True Sample"
"PG2S","PG2S","True Sample"
"PG3PH","PG3PH","True Sample"
"PG3S","PG3S","True Sample"
"PG4PH","PG4PH","True Sample"
"PG4S","PG4S","True Sample"
"PG5PH","PG5PH","True Sample"
"PG5S","PG5S","True Sample"
"PG6PH","PG6PH","True Sample"
"PG6S","PG6S","True Sample"
"PG7PH","PG7PH","True Sample"
"PG7S","PG7S","True Sample"
"PG8PH","PG8PH","True Sample"
"PG8S","PG8S","True Sample"
"PG9PH","PG9PH","True Sample"
"PT1","PT1","True Sample"
"PT10","PT10","True Sample"
"PT11","PT11","True Sample"
"PT12","PT12","True Sample"
"PT13","PT13","True Sample"
"PT2","PT2","True Sample"
"PT3","PT3","True Sample"
"PT4","PT4","True Sample"
"PT5","PT5","True Sample"
"PT6","PT6","True Sample"
"PT7","PT7","True Sample"
"PT8","PT8","True Sample"
"PT9","PT9","True Sample"
"PV1CT","PV1CT","True Sample"
"PV1CT2","PV1CT2","True Sample"
"PV1PH","PV1PH","True Sample"
"PV1PH2","PV1PH2","True Sample"
"PV1S","PV1S","True Sample"
"PV1S2","PV1S2","True Sample"
"PV1T","PV1T","True Sample"
"PV1T2","PV1T2","True Sample"
"PV2CT","PV2CT","True Sample"
"PV2CT2","PV2CT2","True Sample"
"PV2PH","PV2PH","True Sample"
"PV2PH2","PV2PH2","True Sample"
"PV2S","PV2S","True Sample"
"PV2S2","PV2S2","True Sample"
"PV2T","PV2T","True Sample"
"PV2T2","PV2T2","True Sample"
"PV3CT","PV3CT","True Sample"
"PV3CT2","PV3CT2","True Sample"
"PV3PH","PV3PH","True Sample"
"PV3PH2","PV3PH2","True Sample"
"PV3S","PV3S","True Sample"
"PV3S2","PV3S2","True Sample"
"PV3T","PV3T","True Sample"
"PV3T2","PV3T2","True Sample"
"PV4CT","PV4CT","True Sample"
"PV4CT2","PV4CT2","True Sample"
"PV4PH","PV4PH","True Sample"
"PV4PH2","PV4PH2","True Sample"
"PV4S","PV4S","True Sample"
"PV4S2","PV4S2","True Sample"
"PV4T","PV4T","True Sample"
"PV4T2","PV4T2","True Sample"
"PV5CT","PV5CT","True Sample"
"PV5CT2","PV5CT2","True Sample"
"PV5PH","PV5PH","True Sample"
"PV5PH2","PV5PH2","True Sample"
"PV5S","PV5S","True Sample"
"PV5S2","PV5S2","True Sample"
"PV5T","PV5T","True Sample"
"PV5T2","PV5T2","True Sample"
"PV6CT","PV6CT","True Sample"
"PV6PH","PV6PH","True Sample"
"PV6PH2","PV6PH2","True Sample"
"PV6S","PV6S","True Sample"
"PV6S2","PV6S2","True Sample"
"PV6T","PV6T","True Sample"
"PV6T2","PV6T2","True Sample"
"PV7CT","PV7CT","True Sample"
"PV7PH","PV7PH","True Sample"
"PV7PH2","PV7PH2","True Sample"
"PV7T","PV7T","True Sample"
"PV7T2","PV7T2","True Sample"
"PV8CT","PV8CT","True Sample"
"PV8PH","PV8PH","True Sample"
"PV8PH2","PV8PH2","True Sample"
"PV9CT","PV9CT","True Sample"
"ST10PH","ST10PH","True Sample"
"ST10PH2","ST10PH2","True Sample"
"St1PH","St1PH","True Sample"
"ST1PH2","ST1PH2","True Sample"
"ST1S","ST1S","True Sample"
"ST1S2","ST1S2","True Sample"
"St2PH","St2PH","True Sample"
"ST2PH2","ST2PH2","True Sample"
"ST2S","ST2S","True Sample"
"ST2S2","ST2S2","True Sample"
"St3PH","St3PH","True Sample"
"ST3PH2","ST3PH2","True Sample"
"ST3S","ST3S","True Sample"
"ST3S2","ST3S2","True Sample"
"St4PH","St4PH","True Sample"
"ST4PH2","ST4PH2","True Sample"
"ST4S","ST4S","True Sample"
"ST4S2","ST4S2","True Sample"
"St5PH","St5PH","True Sample"
"ST5PH2","ST5PH2","True Sample"
"ST5S","ST5S","True Sample"
"ST5S2","ST5S2","True Sample"
"St6PH","St6PH","True Sample"
"ST6PH2","ST6PH2","True Sample"
"ST6S","ST6S","True Sample"
"ST6S2","ST6S2","True Sample"
"St7PH","St7PH","True Sample"
"ST7PH2","ST7PH2","True Sample"
"ST7S","ST7S","True Sample"
"ST7S2","ST7S2","True Sample"
"St8PH","St8PH","True Sample"
"ST8PH2","ST8PH2","True Sample"
"ST9PH","ST9PH","True Sample"
