OTU_ID,TaxonPath
96f43c11435f77fb85e96ce988fd1639,d__Eukaryota;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;
8d8dfd55946eb67fe110a92a8341d4aa,d__Eukaryota;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;
878b743d43fd2812b6e0e05808f9a754,d__Eukaryota;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Mycocaliciales;f__Mycocaliciaceae;g__Mycocalicium;s__Mycocalicium subtile;
c06fcec364590443d3a14be6543471a3,d__Eukaryota;k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Caliciales;f__Physciaceae;g__Heterodermia;s__Heterodermia speciosa;
86cf9f29b962123068e44511bc1d6a4f,d__Eukaryota;k__Fungi;p__Ascomycota;c__Leotiomycetes;
f1e5b7e9b9cd41675da425431620826e,d__Eukaryota;k__Fungi;p__Ascomycota;c__Leotiomycetes;
557a0758eeda69fa89c4af4342dba782,d__Eukaryota;k__Fungi;p__Ascomycota;c__Leotiomycetes;f__Myxotrichaceae;g__Myxotrichum;s__Myxotrichum deflexum;
0e9c87eabb88e9aba421f1c2eada2d4d,d__Eukaryota;k__Fungi;p__Ascomycota;c__Leotiomycetes;f__Pseudeurotiaceae;
e9a800c2a4c668b0ebe425822fa60bbc,d__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;
dfa54ef4e6c565b68da43ab664dd77a6,d__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;
917f21451d46a931c9a3293298cd9efb,d__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;
9fad057b763e227f149a975aaef01884,d__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;
3bbd186445e8c086f6cc88ae64d7caad,d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia;
5723b7ac99c8a3efa765582fadf2eba7,d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia;
9124d7afec98755c3d62429dc4ca5bdc,d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;
378d5a1a9b114d114cf4b0ebecc77ff7,d__Eukaryota;k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;
1d619dda633685f798a343395903ec37,d__Eukaryota;k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;
4befdb3637370d25b7af6dce3800f3ac,d__Eukaryota;k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;
0b732550df8d6795ad3845541c96af31,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricomycetes;
