Record_type,Cluster_number,Size,Match_orientation,NU,NU,NU,NU,ASV_ID,OUT97_ID
S,73,125,*,*,*,*,*,09360ecb6c4fdddbbbad300ef9d8b55d,*
S,74,125,*,*,*,*,*,094bd6a09fa1277d0bc2c9b1827f5732,*
S,75,53,*,*,*,*,*,097c18caccc94c89fbb80108a8ecb881,*
S,76,124,*,*,*,*,*,099c45409c12f0a10be32a7b08218510,*
S,77,125,*,*,*,*,*,09b7d25b41ddf3a62cc2547e773e7177,*
S,78,40,*,*,*,*,*,09cdf286cc96d9147dfaf9621b715abc,*
S,79,54,*,*,*,*,*,09cf1872f9cd2c39ec20744b918f8005,*
S,80,69,*,*,*,*,*,0a0b3934d798e87920c517b44a76f1bc,*
H,12,125,100,+,0,0,54M71D,0a1dcd1f26fb45c3e6f3f097d731119c,0141303a94bdca58d6b048c56773e504
H,21,61,98.4,+,0,0,61M14I,0a365fbdcf369b7f4bd97d09dd99d915,025bd2b8793b3c266bf36502dc76ca4a
S,81,125,*,*,*,*,*,0a3c18792080fd27e500f454b3f0ac39,*
S,82,56,*,*,*,*,*,0a5c207880a83ca8c4370cefa0548eab,*
S,83,125,*,*,*,*,*,0a61cf69f2c707b79e98040db11fd17a,*
S,84,64,*,*,*,*,*,0a76573d4b86889fa6b146057255cb4e,*
S,85,125,*,*,*,*,*,0a87108de0fad018d03ad8d7b47f0052,*
S,86,38,*,*,*,*,*,0a99bd2ee297c52dd12ea5a2f4b1ef3e,*
H,14,125,97.6,+,0,0,125M,0a9b0338676f4d3376302d5228515ae1,01574e5286935f410c4f41ed8e92987b
H,84,125,97.3,+,0,0,27I37M88D,0abb24ac5b08aafa4da9ce109bc31074,0a76573d4b86889fa6b146057255cb4e
S,87,125,*,*,*,*,*,0abe4fc5b481489704837138baf05e72,*
S,88,125,*,*,*,*,*,0ac8d26c9cdfdba2c1ea6f5ad3a5fe1a,*
S,89,124,*,*,*,*,*,0b5fec035ed7463c1ba29df616d81dd8,*
S,90,39,*,*,*,*,*,0b6587f57f8f46033b5551a7536f1bdc,*
S,91,125,*,*,*,*,*,0b732550df8d6795ad3845541c96af31,*
S,92,125,*,*,*,*,*,0b8ca1190a06b34fc6fff70110fbcecd,*
S,93,40,*,*,*,*,*,0bb648e12fd5485c6501c36cb2fc5831,*
S,94,82,*,*,*,*,*,0bc2155d719e35e422f97bba9927ef4c,*
S,95,125,*,*,*,*,*,0be5c2d8b87c8dc2497dfa13df7b8c9e,*
S,96,53,*,*,*,*,*,0c1d67cc9a541a27174ef08c97d5c481,*
S,97,54,*,*,*,*,*,0c293e975f86f4e24d5474afbce6681a,*
S,98,125,*,*,*,*,*,0c2c5f6e9056e9b7a0f9072b9b3c347b,*
S,99,125,*,*,*,*,*,0c3b212e2caf8e39e934f471c9e4e109,*
S,100,125,*,*,*,*,*,0c54f5bd4575b376044dd4006f22af9a,*
S,101,125,*,*,*,*,*,0c7494841b96d3a71d92b42f3aa6dd95,*
S,102,125,*,*,*,*,*,0ca727e886bc22a7214e56ff27a41444,*
S,103,69,*,*,*,*,*,0cc15876543764a6665349d6e42cdaf7,*
S,104,125,*,*,*,*,*,0d1a7dc396185bd5a4ac95050e946004,*
S,105,125,*,*,*,*,*,0d852c1f29d498327ff04a2134a903c7,*
S,106,125,*,*,*,*,*,0df7556f3f149c197a6c592c545cd093,*
S,107,125,*,*,*,*,*,0e1ab31fdb0e22985da09f581b5e8a0d,*
S,108,117,*,*,*,*,*,0e3b42809727d9b9526e00011d2e7c4e,*
S,109,125,*,*,*,*,*,0e3cf7f77d6677724631c8f71e5ed24a,*
S,110,125,*,*,*,*,*,0e9c87eabb88e9aba421f1c2eada2d4d,*
S,111,125,*,*,*,*,*,0ea6e20ae09a09a8854ffb2c435a4aff,*
S,112,125,*,*,*,*,*,0eaeeda78b6663cf7bb51550dc0ad865,*
S,113,125,*,*,*,*,*,0ed18d60cd00394ccb40cb38775585e3,*
S,114,104,*,*,*,*,*,0f019be8ae6bbbfe75a500f15184ef52,*
S,115,39,*,*,*,*,*,0f07aa72dcdf8174d5a5eed28fb16ca4,*
S,116,60,*,*,*,*,*,0f1d0556f5725a947334c0068288c9af,*
S,117,125,*,*,*,*,*,0f409a4dcc5d10972b1da4b3b2b13ce3,*
S,118,125,*,*,*,*,*,0f5fcef13c08263e05a93aa10914baa0,*
S,119,53,*,*,*,*,*,0f8c12e551699237325fddd62c26b79d,*
